model,temperature,top_p,calls,errors,accuracy,stability,mean_output_tokens,parse_rate
propietario_economico,0.0,0.5,50,0,1.0,1.0,6.0,1.0
propietario_economico,0.0,0.9,50,0,1.0,1.0,6.0,1.0
propietario_economico,0.0,1.0,50,0,1.0,1.0,6.0,1.0
propietario_economico,0.3,0.5,50,0,1.0,1.0,6.0,1.0
propietario_economico,0.3,0.9,50,0,1.0,1.0,6.0,1.0
propietario_economico,0.3,1.0,50,0,1.0,1.0,6.0,1.0
propietario_economico,0.7,0.5,50,0,1.0,1.0,6.0,1.0
propietario_economico,0.7,0.9,50,0,1.0,1.0,6.0,1.0
propietario_economico,0.7,1.0,50,0,1.0,1.0,6.0,1.0
propietario_economico,1.0,0.5,50,0,1.0,1.0,6.0,1.0
propietario_economico,1.0,0.9,50,0,1.0,1.0,6.0,1.0
propietario_economico,1.0,1.0,50,0,1.0,1.0,6.0,1.0
propietario_economico,1.5,0.5,50,0,1.0,1.0,6.0,1.0
propietario_economico,1.5,0.9,50,0,1.0,1.0,6.0,1.0
propietario_economico,1.5,1.0,50,0,1.0,1.0,5.98,1.0
